trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1058684_b_6534_tn_10,15:34:00,15:34:00,2392559,13,,0,0,14281.8518451298,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:38:00,15:38:00,2392558,14,,0,0,15483.3920548061,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:41:00,15:41:00,2392557,15,,0,0,16052.4478013271,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:43:00,15:43:00,2392556,16,,0,0,17117.6900868332,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:45:00,15:45:00,2421988,17,,0,0,18972.97468872,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,15:50:00,15:50:00,2421988,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,15:51:00,15:51:00,2392570,2,,0,0,264.334718884548,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,15:52:00,15:52:00,2392569,3,,0,0,1304.63036324754,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,15:53:00,15:53:00,2392568,4,,0,0,1901.11602205933,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,15:55:00,15:55:00,2392567,5,,0,0,2420.29994923265,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:00:00,16:00:00,2392566,6,,0,0,3092.79549910966,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:05:00,16:05:00,2392565,7,,0,0,3982.19058396176,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:10:00,16:10:00,2392564,8,,0,0,4591.00976527839,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:14:00,16:14:00,2392563,9,,0,0,5507.35547842327,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:17:00,16:17:00,2392562,10,,0,0,6713.87477286221,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:19:00,16:19:00,2392561,11,,0,0,8131.76602354365,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:21:00,16:21:00,2392560,12,,0,0,10821.2742701402,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:34:00,16:34:00,2392559,13,,0,0,14281.8518451298,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:38:00,16:38:00,2392558,14,,0,0,15483.3920548061,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:41:00,16:41:00,2392557,15,,0,0,16052.4478013271,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:43:00,16:43:00,2392556,16,,0,0,17117.6900868332,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_11,16:45:00,16:45:00,2421988,17,,0,0,18972.97468872,1,,,,,1,1,,,,,,,,
