name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
Kings Creek Drive,29,12157352,68,69,,1850.2909604500976,,,,trunk,2,"LINESTRING (-81.4352894 35.0760698, -81.433334 35.0761322, -81.430751 35.076186, -81.4302207 35.0762079, -81.430194 35.076209, -81.42937 35.076221, -81.429283 35.0762252, -81.429225 35.076228, -81.428561 35.076247, -81.428294 35.076262, -81.428035 35.076266, -81.427768 35.076285, -81.427341 35.076293, -81.426974 35.0763, -81.426715 35.076308, -81.426455 35.076331, -81.426188 35.076327, -81.425929 35.076331, -81.425662 35.076346, -81.4254047 35.076352, -81.425151 35.076358, -81.424884 35.076373, -81.423892 35.0764, -81.4237557 35.0764058, -81.423632 35.076411, -81.423144 35.076419, -81.422663 35.076438, -81.422579 35.076442, -81.422404 35.076442, -81.4219964 35.0764574, -81.421901 35.076461, -81.421656 35.076461, -81.421405 35.076472, -81.420871 35.076514, -81.4204517 35.0765009, -81.42039 35.076499, -81.4200319 35.0765094, -81.419701 35.076519, -81.419375 35.076529, -81.4193243 35.0765322, -81.419123 35.076545, -81.41785 35.076583, -81.416659 35.076625, -81.41624 35.076625, -81.415828 35.076613, -81.415622 35.076594, -81.415187 35.076564, -81.4149796 35.0765397)",auto
Porcher School Road,30,12157545,1709,53,,21.114061391330274,,,,trunk,2,"LINESTRING (-79.6443082 32.9979154, -79.644527 32.9979642)",auto
Doar Road,31,12158276,52,1708,,22.342233993538773,,,,trunk,2,"LINESTRING (-79.6461671 32.9905831, -79.6459376 32.9905255)",auto
York Road,32,12158831,38,1267,,2447.4945742713735,,,,trunk,2,"LINESTRING (-81.483406 35.112969, -81.483539 35.113089, -81.483691 35.113246, -81.483844 35.113414, -81.483981 35.113581, -81.484103 35.113761, -81.484218 35.11394, -81.484317 35.114123, -81.484409 35.11431, -81.484485 35.114501, -81.484553 35.114699, -81.48466 35.1151, -81.484706 35.115302, -81.4847257 35.1153758, -81.484759 35.1155, -81.484851 35.115909, -81.484943 35.116191, -81.484973 35.116294, -81.485034 35.116492, -81.48511 35.116687, -81.485202 35.11687, -81.485415 35.11724, -81.48553 35.117415, -81.485652 35.117587, -81.485789 35.117751, -81.485912 35.117919, -81.486201 35.118224, -81.486346 35.118369, -81.486499 35.11851, -81.4868759 35.1188739, -81.486934 35.11893, -81.487071 35.119067, -81.487491 35.119471, -81.48762 35.119605, -81.488192 35.120166, -81.488728 35.120686, -81.488978 35.120929, -81.489337 35.121238, -81.489513 35.121379, -81.489909 35.121646, -81.4900744 35.1217434, -81.490123 35.121772, -81.4902092 35.1218188, -81.49055 35.122004, -81.490771 35.122108, -81.490993 35.122199, -81.491221 35.122287, -81.491443 35.122363, -81.491908 35.122497, -81.492241 35.1225916, -81.49261 35.122687, -81.493304 35.122863, -81.4936118 35.1229488, -81.494014 35.123061, -81.49425 35.123118, -81.494502 35.123187, -81.49499 35.123313, -81.495352 35.123408, -81.496631 35.123744, -81.497752 35.124053, -81.497897 35.124091, -81.4979462 35.1241055, -81.498492 35.124267, -81.499072 35.12445, -81.499157 35.124479, -81.4996777 35.1247017, -81.5002223 35.1248316, -81.5004905 35.1249106, -81.50063 35.1249633, -81.5007909 35.1250335, -81.5009411 35.1251125, -81.5010377 35.1251563, -81.5011772 35.1252353, -81.5013167 35.1253231, -81.5014883 35.1254371, -81.5016278 35.1255512, -81.5018209 35.1257092, -81.5026136 35.1264345)",auto
Cannan Church Road,33,12161063,70,69,,879.7806931725995,,,,trunk,2,"LINESTRING (-81.4070944 35.0724072, -81.407349 35.072717, -81.407631 35.07304, -81.408089 35.073509, -81.408434 35.073809, -81.408609 35.073951, -81.408968 35.074236, -81.409533 35.074636, -81.409724 35.074759, -81.410121 35.074994, -81.410319 35.075102, -81.410525 35.075199, -81.410624 35.075259, -81.410716 35.075312, -81.410922 35.075412, -81.41112 35.075488, -81.411548 35.075667, -81.412203 35.075923, -81.412433 35.075999, -81.4126083 35.0760537, -81.412898 35.076144, -81.413135 35.076205, -81.413615 35.076316, -81.413844 35.076377, -81.414073 35.076407, -81.4142704 35.0764406, -81.414302 35.076446, -81.4144668 35.076468, -81.414744 35.07651, -81.4149796 35.0765397)",auto
,34,12162080,1710,2590,,21.479096546071723,,,,trunk,2,"LINESTRING (-79.6300284 33.0240578, -79.630233 33.0241466)",auto
Sampson Road,35,12162850,58,71,,20.421609823815075,,,,trunk,2,"LINESTRING (-79.588169 33.0427491, -79.588303 33.0428944)",auto
,36,12163420,77,78,,109.22294244934749,,45,,trunk,2,"LINESTRING (-80.8940427 34.7028702, -80.8940289 34.7038524)",auto
,37,12163500,79,2060,,24.015574972710475,,,,trunk,2,"LINESTRING (-80.8953204 34.7039584, -80.8952124 34.7039977, -80.8950682 34.7040066)",auto
,38,12163501,75,80,,87.8732895684918,,,,trunk,2,"LINESTRING (-80.895595 34.705784, -80.8954437 34.7051561, -80.8953915 34.7050122)",auto
,39,12163501,80,2060,,115.75127260888945,,,,trunk,2,"LINESTRING (-80.8953915 34.7050122, -80.8951629 34.7043396, -80.8951027 34.7041737, -80.8950682 34.7040066)",auto
,40,12163501,2060,73,,68.22336521806088,,,,trunk,2,"LINESTRING (-80.8950682 34.7040066, -80.8950372 34.7038566, -80.894947 34.7034012)",auto
,41,12163517,84,85,,23.411451556199186,,,,primary,3,"LINESTRING (-81.243362 34.704829, -81.2432474 34.7048771, -81.2431588 34.7049524)",auto
,42,12163517,85,83,,24.601496958488823,,,,primary,3,"LINESTRING (-81.2431588 34.7049524, -81.2431254 34.7050502, -81.243151 34.705168)",auto
Texaco Road,43,12163581,82,2061,,144.14789797109503,,45,,trunk,2,"LINESTRING (-80.8941189 34.70421, -80.8945439 34.7044544, -80.8947639 34.7046242, -80.8949523 34.7048109, -80.8952313 34.705113)",auto
,44,12163595,86,87,,53.20263446401162,,,,primary,3,"LINESTRING (-81.2436364 34.7053133, -81.2437329 34.705242, -81.2438317 34.705198, -81.2439783 34.705177, -81.2441692 34.7051839)",auto
S-11-352,45,12163827,27,34,,138.7245205306901,,,,trunk,2,"LINESTRING (-81.5099765 35.1395516, -81.509883 35.139613, -81.5097919 35.1396552, -81.50957 35.139758, -81.509372 35.139846, -81.509089 35.139976, -81.5086677 35.1401901)",auto
,46,12163950,91,90,,95.6988319146454,,,,trunk,2,"LINESTRING (-81.2278607 34.6963044, -81.2280339 34.6965616, -81.2280621 34.6967079, -81.2280395 34.6968658, -81.2279007 34.6970989)",auto
,47,12163952,92,91,,79.64261705318856,,,,trunk,2,"LINESTRING (-81.2286536 34.6963381, -81.2284687 34.6964363, -81.2282654 34.6964572, -81.2281242 34.6964154, -81.2278607 34.6963044)",auto
,48,12164111,96,1375,,21.679502429355008,,,,motorway,1,"LINESTRING (-81.0374398 34.7462798, -81.0375295 34.7460993)",auto
,49,12164111,1375,1374,,35.18098780581195,,,,motorway,1,"LINESTRING (-81.0375295 34.7460993, -81.0375861 34.7459482, -81.037576 34.7458656, -81.0375459 34.7457945)",auto
,50,12164111,1374,988,,580.3904416298831,,,,motorway,1,"LINESTRING (-81.0375459 34.7457945, -81.0367029 34.7448348, -81.0363671 34.7444292, -81.0360955 34.7440606, -81.0360171 34.7439202, -81.0359326 34.7437598, -81.035828 34.7435235, -81.0357616 34.7433334, -81.035651 34.7429383, -81.0356087 34.7427086, -81.0354961 34.7416821, -81.0353678 34.7410228)",auto
,51,12164459,1381,93,,21.934593846435327,,,,motorway,1,"LINESTRING (-81.0335885 34.7449099, -81.0334962 34.745092)",auto
,52,12164459,93,94,,36.00292226844077,,,,motorway,1,"LINESTRING (-81.0334962 34.745092, -81.0334634 34.7451533, -81.0334473 34.7452089, -81.0334496 34.7452579, -81.0334676 34.7453123, -81.0335074 34.7454007)",auto
,53,12164459,94,95,,583.6869390604604,,,,motorway,1,"LINESTRING (-81.0335074 34.7454007, -81.0344729 34.7465285, -81.034667 34.7467709, -81.0348229 34.7469775, -81.0350668 34.7473783, -81.0351473 34.7475312, -81.0352302 34.7476944, -81.0352906 34.7478473, -81.035356 34.7480229, -81.0353937 34.7481675, -81.035444 34.7484113, -81.0354672 34.7485677, -81.0354892 34.7487595, -81.0355596 34.7495017, -81.0356986 34.7502038)",auto
Lancaster Highway,54,12164920,102,103,,362.7598852465971,,55,,trunk,2,"LINESTRING (-81.1575887 34.71961, -81.1545385 34.7206638, -81.1539321 34.7208788)",auto
Lancaster Highway,55,12164920,103,1962,,204.89765940733992,,55,,trunk,2,"LINESTRING (-81.1539321 34.7208788, -81.1518631 34.7215884)",auto
Pinckney Road,56,12165556,2083,108,,39.635739194508965,,,,trunk,2,"LINESTRING (-81.4491695 34.7873585, -81.4495832 34.7874663)",auto
Pinckney Road,57,12165556,108,109,,77.44787103814733,,,,trunk,2,"LINESTRING (-81.4495832 34.7874663, -81.4498275 34.7875136, -81.4500861 34.7875619, -81.4504146 34.7876007)",auto
Lancaster Highway,58,12165804,96,1379,,39.138314295105545,,,,trunk,2,"LINESTRING (-81.0374398 34.7462798, -81.0378425 34.7463998)",auto
Lancaster Highway,59,12165804,1379,97,,8218.486625516036,,,,trunk,2,"LINESTRING (-81.0378425 34.7463998, -81.0381878 34.7465027, -81.0393168 34.7468492, -81.0406071 34.7472362, -81.0414134 34.7474732, -81.0428057 34.7478967, -81.0434539 34.7480947, -81.0455267 34.748714, -81.0472187 34.7492248, -81.0482578 34.7495317, -81.0488735 34.7497213, -81.0499769 34.7500652, -81.0508603 34.7503256, -81.0515404 34.7505319, -81.051993 34.750701, -81.0533407 34.7512186, -81.0541919 34.7516083, -81.0557011 34.7523783, -81.0570174 34.7530602, -81.0573616 34.7532347, -81.0587114 34.7538988, -81.059318 34.7542218, -81.0597786 34.7544064, -81.0602616 34.7545356, -81.0607554 34.7546332, -81.0612863 34.7546841, -81.0615785 34.7546947, -81.0620338 34.7546895, -81.0622819 34.754689, -81.0625873 34.7546493, -81.063177 34.75449, -81.0633844 34.754434, -81.0648278 34.753908, -81.06527 34.7537534, -81.0680742 34.7527728, -81.0687999 34.752512, -81.0691447 34.7523881, -81.0699569 34.7520963, -81.0722687 34.7512656, -81.0748138 34.750351, -81.077184 34.7494749, -81.077535 34.7493451, -81.078047 34.749174, -81.0823905 34.7476247, -81.0855026 34.7464943, -81.087308 34.74572, -81.0882519 34.7452459, -81.0941409 34.7421985, -81.09738 34.7405381, -81.0988732 34.7397641, -81.1002031 34.7390798, -81.1008957 34.7387057, -81.1013034 34.7385063, -81.1022917 34.7380123, -81.103232 34.737629, -81.103814 34.737423, -81.1041389 34.7373017, -81.1045739 34.7371834, -81.1103916 34.7357015, -81.1125517 34.7351533, -81.1175847 34.7338762, -81.1196785 34.7333528)",auto
Lancaster Highway,60,12165811,89,2616,,965.0334828095516,,,,trunk,2,"LINESTRING (-80.8846423 34.7052451, -80.8844338 34.7053019, -80.8815636 34.7069229, -80.8805554 34.7075044, -80.8803744 34.7075995, -80.8798683 34.7079021, -80.8793195 34.7081695, -80.8787056 34.7083633, -80.8784251 34.7084168, -80.8779283 34.7084873, -80.8773111 34.7085237, -80.8767217 34.7084836, -80.8752526 34.7083043)",auto
Lancaster Highway,61,12165811,2616,2618,,306.4099447024181,,,,trunk,2,"LINESTRING (-80.8752526 34.7083043, -80.8719369 34.7078995)",auto
Lancaster Highway,62,12165811,2618,2123,,130.173145964725,,,,trunk,2,"LINESTRING (-80.8719369 34.7078995, -80.8712739 34.7078186, -80.8707373 34.7077818, -80.8705221 34.7077881)",auto
Lancaster Highway,63,12165811,2123,2068,,206.4877183597668,,,,trunk,2,"LINESTRING (-80.8705221 34.7077881, -80.8701641 34.7077985, -80.8695054 34.7078854, -80.8691233 34.707979, -80.8683224 34.7081728)",auto
Pinckney Road,64,12166434,100,87,,47.27844747866284,,,,trunk,2,"LINESTRING (-81.2436638 34.7050936, -81.2441692 34.7051839)",auto
Pinckney Road,65,12166434,87,106,,32.12971458949122,,,,trunk,2,"LINESTRING (-81.2441692 34.7051839, -81.2445201 34.7052005)",auto
Pinckney Road,66,12166435,106,99,,79.44691637796174,,,,trunk,2,"LINESTRING (-81.2445201 34.7052005, -81.243725 34.704912)",auto
,67,12166918,73,78,,162.36356189146926,,45,,trunk,2,"LINESTRING (-80.894947 34.7034012, -80.8948302 34.7038871, -80.8947506 34.7040006, -80.8946847 34.704065, -80.8945984 34.7041126, -80.8944603 34.7041548, -80.8943347 34.7041723, -80.8941984 34.7041359, -80.8941241 34.7040675, -80.8940289 34.7038524)",auto
,68,12167970,114,116,,366.2388525320067,,,,trunk,2,"LINESTRING (-81.2376796 34.7040761, -81.2378273 34.7040821, -81.2386551 34.7040826, -81.2389186 34.7040789, -81.2401016 34.7041056, -81.2408066 34.7041466, -81.2416566 34.704324)",auto
,69,12305650,126,127,,2480.0589443582508,,,,trunk,2,"LINESTRING (-80.195188 34.751959, -80.195258 34.75204, -80.19797 34.755754, -80.198758 34.75639, -80.199246 34.756784, -80.200184 34.757286, -80.200273 34.757334, -80.203076 34.758364, -80.204351 34.758868, -80.2066039 34.7597072, -80.2069902 34.7598615, -80.2082669 34.7603595, -80.2092915 34.7607694, -80.2113625 34.7617089, -80.2134447 34.7626794, -80.215597 34.7636898, -80.2169078 34.7643855)",auto
,70,12305659,128,117,,1683.7154860995793,,,,trunk,2,"LINESTRING (-80.167852 34.742536, -80.167834 34.742526, -80.1618366 34.737773, -80.156163 34.7332905, -80.155756 34.7329978, -80.1555062 34.7328268, -80.1553305 34.732728, -80.1551224 34.7326063, -80.1548634 34.7324809, -80.1545535 34.7323441, -80.15436 34.7322666)",auto
,71,12305665,130,122,,5875.85774856109,,,,trunk,2,"LINESTRING (-80.508524 34.75032, -80.5065749 34.750506, -80.50504 34.750458, -80.5046688 34.750419, -80.504319 34.7503623, -80.503954 34.750289, -80.5035891 34.7501981, -80.499788 34.748949, -80.496642 34.747875, -80.496448 34.747737, -80.493061 34.746662, -80.492423 34.746571, -80.491396 34.746159, -80.48801 34.745107, -80.485957 34.744718, -80.484847 34.744742, -80.478687 34.744721, -80.471195 34.744746, -80.470612 34.7447, -80.467616 34.744907, -80.464064 34.745458, -80.462055 34.745879, -80.460346 34.746237, -80.460013 34.746237, -80.458875 34.746535, -80.4519523 34.7479857, -80.4461707 34.7491099)",auto
