,name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
7350,,7428,41518609,traffic_signals,,1,,,,-112.1260404,33.4513416,,,
7460,,7539,41519076,traffic_signals,,1,,,,-111.7016304,33.4446156,,,
7733,,7812,41520521,traffic_signals,,1,,,,-111.9442661,33.4218936,,,
7947,,8026,41521502,traffic_signals,,1,,,,-112.2420378,33.5810033,,,
7958,,8038,41521563,traffic_signals,,1,,,,-111.844729,33.4295795,,,
7962,,8042,41521581,traffic_signals,,1,,,,-111.8522106,33.4294684,,,
7965,,8045,41521589,traffic_signals,,1,,,,-111.8562946,33.4293972,,,
7968,,8048,41521607,traffic_signals,,1,,,,-111.8651072,33.4294142,,,
7969,,8049,41521621,traffic_signals,,1,,,,-111.8742752,33.4294355,,,
7971,,8051,41521627,traffic_signals,,1,,,,-111.880274,33.429375,,,
8970,,9054,41527418,traffic_signals,,1,,,,-112.0914535,33.6402557,,,
8988,,9085,41527551,traffic_signals,,1,,,,-112.2246151,33.6383358,,,
8989,,9090,41527584,traffic_signals,,1,,,,-112.2528509,33.6381896,,,
9280,,9399,41529636,traffic_signals,,1,,,,-111.8228108,33.4259684,,,
9299,,9418,41529691,traffic_signals,,1,,,,-111.9304264,33.4231268,,,
9544,,9666,41530985,traffic_signals,,1,,,,-111.5979705,33.4368316,,,
9550,,9672,41531004,traffic_signals,,1,,,,-111.6153257,33.4368467,,,
9566,,9691,41531119,traffic_signals,,1,,,,-111.675971,33.4369333,,,
9574,,9700,41531151,traffic_signals,,1,,,,-111.6930253,33.437406,,,
9576,,9702,41531158,traffic_signals,,1,,,,-111.7017235,33.4373576,,,
9582,,9708,41531186,traffic_signals,,1,,,,-111.7190109,33.437348,,,
9585,,9711,41531195,traffic_signals,,1,,,,-111.7277107,33.4373077,,,
9588,,9714,41531210,traffic_signals,,1,,,,-111.7363749,33.4372712,,,
9595,,9721,41531276,traffic_signals,,1,,,,-111.7739778,33.4372434,,,
9601,,9727,41531303,traffic_signals,,1,,,,-111.7878903,33.4372084,,,
9604,,9730,41531313,traffic_signals,,1,,,,-111.7965785,33.4370579,,,
9610,,9736,41531335,traffic_signals,,1,,,,-111.805285,33.4370166,,,
9614,,9740,41531353,traffic_signals,,1,,,,-111.8139929,33.4354989,,,
9620,,9746,41531373,traffic_signals,,1,,,,-111.822687,33.4355821,,,
9811,,9939,41532625,traffic_signals,,1,,,,-111.9433249,33.7411353,,,
9831,,9959,41532746,traffic_signals,,1,,,,-111.6928314,33.4518545,,,
9863,,9991,41532871,traffic_signals,,1,,,,-111.693165,33.4229069,,,
9887,,10016,41532984,traffic_signals,,1,,,,-111.9431982,33.6113661,,,
9896,,10025,41533001,traffic_signals,,1,,,,-111.943339,33.6040665,,,
9900,,10029,41533022,traffic_signals,,1,,,,-111.9433229,33.5967873,,,
9906,,10035,41533047,traffic_signals,,1,,,,-111.9434649,33.5820126,,,
9929,,10059,41533125,traffic_signals,,1,,,,-111.9433163,33.5020488,,,
10398,,10531,41536126,traffic_signals,,1,,,,-111.7731129,33.359646,,,
10401,,10534,41536148,traffic_signals,,1,,,,-111.7730296,33.3500762,,,
10402,,10535,41536157,traffic_signals,,1,,,,-111.7712454,33.3790728,,,
10405,,10538,41536173,traffic_signals,,1,,,,-111.773688,33.3718095,,,
10411,,10544,41536198,traffic_signals,,1,,,,-111.7710347,33.4226792,,,
10418,,10551,41536214,traffic_signals,,1,,,,-111.770983,33.4299651,,,
10424,,10557,41536239,traffic_signals,,1,,,,-111.770891,33.4411904,,,
10434,,10567,41536272,traffic_signals,,1,,,,-111.770697,33.4591075,,,
10440,,10573,41536296,traffic_signals,,1,,,,-111.77058,33.4663788,,,
10694,,10827,41538240,traffic_signals,,1,,,,-112.409617,33.5662412,,,
10963,,11098,41539585,traffic_signals,,1,,,,-111.9489576,33.4801554,,,
11217,,11353,41540851,traffic_signals,,1,,,,-111.8065946,33.233613,,,
11238,,11378,41541028,traffic_signals,,1,,,,-111.806994,33.3498608,,,
11560,,11707,41543197,traffic_signals,,1,,,,-111.8833966,33.5701088,,,
11561,,11708,41543201,traffic_signals,,1,,,,-111.8872218,33.5690445,,,
11668,,11816,41543891,traffic_signals,,1,,,,-112.1861791,33.5783254,,,
11766,,11914,41544348,traffic_signals,,1,,,,-111.8328009,33.3061896,,,
11790,,11939,41544458,traffic_signals,,1,,,,-111.6759202,33.4078989,,,
11803,,11952,41544493,traffic_signals,,1,,,,-111.6761953,33.3933449,,,
11871,,12022,41545067,traffic_signals,,1,,,,-112.2376845,33.6671474,,,
11873,,12024,41545076,traffic_signals,,1,,,,-112.2550766,33.6672366,,,
11883,,12037,41545161,traffic_signals,,1,,,,-112.0915565,33.6698393,,,
11885,,12039,41545177,traffic_signals,,1,,,,-112.0999291,33.6699427,,,
11918,,12073,41545400,traffic_signals,,1,,,,-111.7968903,33.3934621,,,
11951,,12106,41545512,traffic_signals,,1,,,,-111.8830206,33.422096,,,
12605,,12760,41549140,traffic_signals,,1,,,,-112.1174653,33.442152,,,
12610,,12765,41549145,traffic_signals,,1,,,,-112.134572,33.4423462,,,
13129,,13284,41552117,traffic_signals,,1,,,,-111.8765155,33.3537973,,,
13141,,13296,41552186,traffic_signals,,1,,,,-111.8591199,33.353208,,,
13154,,13309,41552243,traffic_signals,,1,,,,-111.8486743,33.3497157,,,
13229,,13384,41552914,traffic_signals,,1,,,,-111.8344591,33.3933327,,,
13231,,13386,41552945,traffic_signals,,1,,,,-111.8782178,33.3930574,,,
13232,,13387,41552948,traffic_signals,,1,,,,-111.8800547,33.393032,,,
13233,,13388,41552984,traffic_signals,,1,,,,-111.9395931,33.3928547,,,
13234,,13389,41552989,traffic_signals,,1,,,,-111.9436969,33.3928421,,,
13235,,13390,41552991,traffic_signals,,1,,,,-111.9478296,33.3928294,,,
13236,,13391,41552992,traffic_signals,,1,,,,-111.9519792,33.3928434,,,
13239,,13394,41553003,traffic_signals,,1,,,,-111.9607621,33.3928427,,,
13242,,13398,41553026,traffic_signals,,1,,,,-111.9783342,33.3927585,,,
13244,,13400,41553125,traffic_signals,,1,,,,-112.0819791,33.3922241,,,
13247,,13403,41553152,traffic_signals,,1,,,,-112.1077613,33.3922347,,,
13254,,13410,41553221,traffic_signals,,1,,,,-112.1509045,33.3920034,,,
13260,,13416,41553279,traffic_signals,,1,,,,-112.2027921,33.3918867,,,
13265,,13422,41553326,traffic_signals,,1,,,,-111.5806615,33.3933359,,,
13267,,13424,41553331,traffic_signals,,1,,,,-111.7798309,33.3936043,,,
13347,,13504,41553835,traffic_signals,,1,,,,-112.1112488,33.6109546,,,
13489,,13646,41554741,traffic_signals,,1,,,,-112.1172124,33.429574,,,
13592,,13749,41555443,traffic_signals,,1,,,,-112.186421,33.5022675,,,
13609,,13770,41555639,traffic_signals,,1,,,,-112.1858862,33.6088951,,,
13617,,13778,41555687,traffic_signals,,1,,,,-112.1856581,33.6323972,,,
13619,,13780,41555697,traffic_signals,,1,,,,-112.1864307,33.6435342,,,
13622,,13783,41555706,traffic_signals,,1,,,,-112.1863857,33.6471655,,,
13667,,13831,41556164,traffic_signals,,1,,,,-112.0646283,33.3995901,,,
13673,,13837,41556179,traffic_signals,,1,,,,-112.047252,33.3996439,,,
13681,,13845,41556196,traffic_signals,,1,,,,-112.0299532,33.3996668,,,
13693,,13857,41556234,traffic_signals,,1,,,,-111.9954663,33.3998475,,,
13706,,13870,41556271,traffic_signals,,1,,,,-111.9783284,33.4000496,,,
14350,,14515,41559964,traffic_signals,,1,,,,-112.0737966,33.4368319,,,
14354,,14519,41559980,traffic_signals,,1,,,,-112.0737729,33.4312491,,,
14368,,14534,41560051,traffic_signals,,1,,,,-112.0733226,33.3886095,,,
14376,,14542,41560078,traffic_signals,,1,,,,-112.0732782,33.3777537,,,
14381,,14547,41560098,traffic_signals,,1,,,,-112.0732435,33.3705235,,,
14385,,14551,41560105,traffic_signals,,1,,,,-112.0732327,33.3632712,,,
14667,,14834,41561738,traffic_signals,,1,,,,-111.9825904,33.4801639,,,
14972,,15139,41563475,traffic_signals,,1,,,,-111.9423899,33.4219281,,,
14973,,15140,41563500,traffic_signals,,1,,,,-111.943347,33.4254811,,,
14974,,15141,41563515,traffic_signals,,1,,,,-111.9427719,33.4275569,,,
15254,,15422,41565303,traffic_signals,,1,,,,-111.9352163,33.4510986,,,
15261,,15429,41565322,traffic_signals,,1,,,,-111.9179271,33.4512709,,,
15262,,15430,41565331,traffic_signals,,1,,,,-111.9093054,33.4512717,,,
15264,,15432,41565366,traffic_signals,,1,,,,-111.8833285,33.4513316,,,
15267,,15435,41565374,traffic_signals,,1,,,,-111.8573185,33.4559077,,,
15276,,15447,41565505,traffic_signals,,1,,,,-111.7015445,33.4518563,,,
15279,,15450,41565512,traffic_signals,,1,,,,-111.7101593,33.4518521,,,
15281,,15452,41565522,traffic_signals,,1,,,,-111.7188106,33.4518549,,,
15282,,15453,41565530,traffic_signals,,1,,,,-111.7360383,33.4518319,,,
15284,,15455,41565543,traffic_signals,,1,,,,-111.7533695,33.4518706,,,
15286,,15457,41565552,traffic_signals,,1,,,,-111.7620551,33.4518346,,,
15298,,15470,41565619,traffic_signals,,1,,,,-111.7962697,33.4516307,,,
15303,,15475,41565632,traffic_signals,,1,,,,-111.8049357,33.4515016,,,
15304,,15476,41565639,traffic_signals,,1,,,,-111.8136442,33.4514896,,,
15307,,15479,41565655,traffic_signals,,1,,,,-111.8311039,33.4514684,,,
15420,,15592,41566210,traffic_signals,,1,,,,-112.0173027,33.4951482,,,
15654,,15827,41567247,traffic_signals,,1,,,,-111.8414789,33.3097831,,,
15658,,15831,41567259,traffic_signals,,1,,,,-111.8415218,33.3134197,,,
15664,,15838,41567304,traffic_signals,,1,,,,-111.8417589,33.3435801,,,
15667,,15841,41567316,traffic_signals,,1,,,,-111.8417679,33.3496388,,,
15668,,15842,41567323,traffic_signals,,1,,,,-111.8418078,33.3538023,,,
15669,,15843,41567327,traffic_signals,,1,,,,-111.8418224,33.3570462,,,
15761,,15935,41567932,traffic_signals,,1,,,,-112.160311,33.5674928,,,
15773,,15947,41568002,traffic_signals,,1,,,,-112.1992803,33.5672324,,,
15778,,15952,41568077,traffic_signals,,1,,,,-112.246409,33.5663934,,,
15781,,15955,41568112,traffic_signals,,1,,,,-112.2638099,33.5660445,,,
15783,,15958,41568132,traffic_signals,,1,,,,-112.281162,33.5657083,,,
15785,,15960,41568137,traffic_signals,,1,,,,-112.2898262,33.5656356,,,
15787,,15962,41568147,traffic_signals,,1,,,,-112.2985063,33.5655445,,,
15790,,15966,41568191,traffic_signals,,1,,,,-112.3417525,33.5656096,,,
15791,,15967,41568202,traffic_signals,,1,,,,-112.3589993,33.5657407,,,
16062,,16239,41569787,traffic_signals,,1,,,,-111.8571369,33.3967164,,,
16072,,16249,41569830,traffic_signals,,1,,,,-111.8485959,33.3968547,,,
16117,,16294,41570156,traffic_signals,,1,,,,-111.6717546,33.4154492,,,
16462,,16639,41571834,traffic_signals,,1,,,,-111.8764131,33.324215,,,
16694,,16871,41573107,traffic_signals,,1,,,,-111.9173662,33.5240264,,,
16695,,16872,41573114,traffic_signals,,1,,,,-111.9126768,33.5239694,,,
16697,,16875,41573121,traffic_signals,,1,,,,-111.9044731,33.52392,,,
16699,,16877,41573131,traffic_signals,,1,,,,-111.8962876,33.5238771,,,
16787,,16965,41573833,traffic_signals,,1,,,,-111.9282386,33.3237622,,,
16791,,16969,41573841,traffic_signals,,1,,,,-111.9284166,33.33465,,,
16804,,16983,41573899,traffic_signals,,1,,,,-111.9286141,33.3673875,,,
16807,,16986,41573906,traffic_signals,,1,,,,-111.928641,33.3720963,,,
16815,,16996,41573941,traffic_signals,,1,,,,-111.9263317,33.392952,,,
16822,,17003,41573960,traffic_signals,,1,,,,-111.9262983,33.4035219,,,
16824,,17005,41573974,traffic_signals,,1,,,,-111.9262973,33.4128826,,,
16825,,17006,41573980,traffic_signals,,1,,,,-111.9263035,33.4168382,,,
16826,,17007,41573982,traffic_signals,,1,,,,-111.9262965,33.4191375,,,
17090,,17273,41575373,traffic_signals,,1,,,,-111.9741052,33.3782064,,,
17253,,17436,41576190,traffic_signals,,1,,,,-111.8287553,33.4223244,,,
18057,,18241,41579437,traffic_signals,,1,,,,-111.7930603,33.3935019,,,
18934,,19119,41582567,traffic_signals,,1,,,,-112.0131111,33.5824739,,,
18938,,19123,41582581,traffic_signals,,1,,,,-112.0044205,33.5826234,,,
18943,,19128,41582594,traffic_signals,,1,,,,-111.9957474,33.5827635,,,
18952,,19138,41582615,traffic_signals,,1,,,,-111.9735864,33.5826791,,,
18969,,19157,41582653,traffic_signals,,1,,,,-111.9277715,33.5820843,,,
18981,,19177,41582729,traffic_signals,,1,,,,-111.8047316,33.5823555,,,
18985,,19187,41582764,traffic_signals,,1,,,,-111.7084189,33.566315,,,
19007,,19209,41582918,traffic_signals,,1,,,,-111.9311382,33.4075231,,,
19210,,19412,41583771,traffic_signals,,1,,,,-112.0912272,33.5712489,,,
19221,,19423,41583792,traffic_signals,,1,,,,-112.091284,33.5821177,,,
19254,,19456,41583944,traffic_signals,,1,,,,-112.0915259,33.6546105,,,
19286,,19488,41584052,traffic_signals,,1,,,,-112.091327,33.4658294,,,
19290,,19492,41584060,traffic_signals,,1,,,,-112.0914056,33.4731692,,,
19295,,19497,41584075,traffic_signals,,1,,,,-112.0913859,33.4804728,,,
19299,,19501,41584086,traffic_signals,,1,,,,-112.0913718,33.4877629,,,
19306,,19508,41584099,traffic_signals,,1,,,,-112.0913272,33.4949374,,,
19312,,19514,41584112,traffic_signals,,1,,,,-112.0912854,33.5022101,,,
19318,,19520,41584141,traffic_signals,,1,,,,-112.0912171,33.5167538,,,
19322,,19524,41584149,traffic_signals,,1,,,,-112.091177,33.5203358,,,
19333,,19535,41584172,traffic_signals,,1,,,,-112.0911351,33.538491,,,
19343,,19545,41584194,traffic_signals,,1,,,,-112.0912861,33.5529742,,,
19356,,19558,41584230,traffic_signals,,1,,,,-112.0912727,33.5675789,,,
19537,,19740,41584878,traffic_signals,,1,,,,-111.9869875,33.3315545,,,
19543,,19746,41584890,traffic_signals,,1,,,,-111.9938271,33.338446,,,
19952,,20156,41586627,traffic_signals,,1,,,,-112.1948741,33.5745787,,,
19963,,20167,41586656,traffic_signals,,1,,,,-112.220317,33.5741213,,,
19976,,20180,41586717,traffic_signals,,1,,,,-112.1689439,33.5746868,,,
20011,,20215,41586823,traffic_signals,,1,,,,-112.0996664,33.5748778,,,
20062,,20266,41586935,traffic_signals,,1,,,,-112.0569088,33.6548352,,,
20124,,20329,41587124,traffic_signals,,1,,,,-112.0567662,33.5713314,,,
20125,,20330,41587131,traffic_signals,,1,,,,-112.0568309,33.5677175,,,
20127,,20332,41587141,traffic_signals,,1,,,,-112.0567296,33.5605249,,,
20134,,20339,41587160,traffic_signals,,1,,,,-112.0566101,33.553022,,,
20150,,20355,41587198,traffic_signals,,1,,,,-112.0563131,33.5382601,,,
20156,,20361,41587211,traffic_signals,,1,,,,-112.0562885,33.5309968,,,
20174,,20379,41587257,traffic_signals,,1,,,,-112.0562805,33.5092146,,,
20175,,20380,41587263,traffic_signals,,1,,,,-112.0562948,33.5056023,,,
20177,,20382,41587269,traffic_signals,,1,,,,-112.0563113,33.5019774,,,
20178,,20383,41587277,traffic_signals,,1,,,,-112.0563451,33.4947229,,,
20184,,20389,41587292,traffic_signals,,1,,,,-112.0563754,33.4874327,,,
20214,,20419,41587372,traffic_signals,,1,,,,-112.0563684,33.4802098,,,
20303,,20508,41587788,traffic_signals,,1,,,,-111.6872277,33.4808066,,,
20392,,20598,41588080,traffic_signals,,1,,,,-112.0697621,33.4586769,,,
20402,,20608,41588103,traffic_signals,,1,,,,-112.0476325,33.4587185,,,
20409,,20615,41588124,traffic_signals,,1,,,,-112.0302272,33.4585868,,,
20423,,20629,41588169,traffic_signals,,1,,,,-112.0725722,33.4586814,,,
20696,,20905,41589306,traffic_signals,,1,,,,-111.9804277,33.3489388,,,
20700,,20909,41589316,traffic_signals,,1,,,,-111.9869998,33.3485818,,,
20724,,20933,41589420,traffic_signals,,1,,,,-111.7384238,33.3502483,,,
20729,,20938,41589466,traffic_signals,,1,,,,-111.6706339,33.3504413,,,
20937,,21147,41590420,traffic_signals,,1,,,,-111.9608223,33.4131755,,,
20939,,21149,41590426,traffic_signals,,1,,,,-111.9695055,33.4135791,,,
20950,,21160,41590466,traffic_signals,,1,,,,-112.1691283,33.4512337,,,
20953,,21163,41590475,traffic_signals,,1,,,,-112.1692068,33.4586102,,,
20957,,21167,41590506,traffic_signals,,1,,,,-112.1690752,33.4732989,,,
20963,,21173,41590525,traffic_signals,,1,,,,-112.1689598,33.4874797,,,
20970,,21181,41590539,traffic_signals,,1,,,,-112.1688261,33.4985811,,,
20971,,21182,41590543,traffic_signals,,1,,,,-112.1688535,33.5021519,,,
20975,,21187,41590567,traffic_signals,,1,,,,-112.1687567,33.5167157,,,
20976,,21188,41590581,traffic_signals,,1,,,,-112.1686533,33.5312367,,,
20997,,21209,41590638,traffic_signals,,1,,,,-112.1689454,33.5603473,,,
21010,,21222,41590675,traffic_signals,,1,,,,-112.1687779,33.5891321,,,
21017,,21229,41590708,traffic_signals,,1,,,,-112.1684487,33.6179393,,,
21021,,21233,41590719,traffic_signals,,1,,,,-112.1683512,33.625155,,,
21031,,21243,41590740,traffic_signals,,1,,,,-112.1689839,33.6472288,,,
21174,,21389,41591245,traffic_signals,,1,,,,-111.6910718,33.3846005,,,
21470,,21686,41592384,traffic_signals,,1,,,,-111.9953599,33.4072723,,,
21477,,21693,41592406,traffic_signals,,1,,,,-111.9955619,33.3853511,,,
21493,,21711,41592494,traffic_signals,,1,,,,-111.9972479,33.2979567,,,
22095,,22315,41595058,traffic_signals,,1,,,,-112.2550147,33.6435663,,,
22194,,22414,41595614,traffic_signals,,1,,,,-112.3543933,33.6547076,,,
22711,,22932,41597695,traffic_signals,,1,,,,-111.8314674,33.4172706,,,
22712,,22933,41597697,traffic_signals,,1,,,,-111.8288002,33.4172668,,,
22716,,22937,41597706,traffic_signals,,1,,,,-111.8229401,33.4172335,,,
22973,,23201,41598816,traffic_signals,,1,,,,-112.1259635,33.4369045,,,
23126,,23355,41599884,traffic_signals,,1,,,,-112.0751121,33.4471484,,,
23127,,23356,41599887,traffic_signals,,1,,,,-112.0750535,33.4460764,,,
23168,,23397,41600055,traffic_signals,,1,,,,-111.8717763,33.3641147,,,
23397,,23626,41601104,traffic_signals,,1,,,,-112.0782659,33.4657767,,,
23405,,23634,41601151,traffic_signals,,1,,,,-112.0781944,33.4948399,,,
