name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,54,27,1564,,,215.92800784197271,1,nan,40.2335,residential,6,,"LINESTRING (-112.08639 33.45332,-112.08639 33.45324,-112.08638 33.45319,-112.08638 33.45232,-112.08639 33.45149,-112.08639 33.45137)",
,55,1288,1258,,,117.4794335120855,1,nan,40.2335,residential,6,,"LINESTRING (-112.08587 33.4482,-112.08587 33.44831,-112.08587 33.44834,-112.08587 33.44849,-112.08587 33.44916,-112.08587 33.44926)",
,56,1258,1288,,,117.87857617856116,1,nan,40.2335,residential,6,,"LINESTRING (-112.08594 33.44926,-112.08595 33.44916,-112.08594 33.44849,-112.08594 33.44834,-112.08594 33.44831,-112.08594 33.4482)",
,57,1258,1563,,,203.16162934698627,1,nan,40.2335,residential,6,,"LINESTRING (-112.08587 33.44926,-112.08587 33.4498,-112.08587 33.44991,-112.08588 33.45109)",
,58,1563,1258,,,203.15963098878257,1,nan,40.2335,residential,6,,"LINESTRING (-112.08596 33.45109,-112.08595 33.44991,-112.08595 33.4498,-112.08594 33.44926)",
,59,1563,1396,,,31.160628267413816,1,nan,40.2335,residential,6,,"LINESTRING (-112.08588 33.45109,-112.08588 33.45127,-112.08589 33.45137)",
,60,1396,1563,,,31.104980480084073,1,nan,40.2335,residential,6,,"LINESTRING (-112.08596 33.45137,-112.08596 33.45127,-112.08596 33.45109)",
,61,46,47,,,376.8781012737811,1,nan,46.67086,residential,6,,"LINESTRING (-112.04007 33.45295,-112.04009 33.45634)",
,62,47,46,,,376.8781012737811,1,nan,46.67086,residential,6,,"LINESTRING (-112.04016 33.45634,-112.04014 33.45294)",
,63,48,49,,,99.48066903471215,1,nan,40.2335,residential,6,,"LINESTRING (-112.04007 33.46668,-112.04006 33.46676,-112.04005 33.46712,-112.04005 33.46758)",
,64,49,48,,,98.88452610486642,1,nan,40.2335,residential,6,,"LINESTRING (-112.04013 33.46758,-112.04013 33.46712,-112.04013 33.46676,-112.04014 33.46669)",
,65,829,2003,,,52.520086456561856,3,nan,62.76426,secondary,4,,"LINESTRING (-112.07381 33.44505,-112.07382 33.44553)",
,66,55,54,,,119.2119272488151,1,nan,40.2335,residential,6,,"LINESTRING (-112.08806 33.446,-112.08808 33.44652,-112.08808 33.44671,-112.08809 33.44693,-112.08809 33.44708)",
,67,54,55,,,119.3221834533392,1,nan,40.2335,residential,6,,"LINESTRING (-112.08816 33.44708,-112.08816 33.44693,-112.08815 33.44671,-112.08815 33.44652,-112.08814 33.446)",
,68,54,1284,,,122.77491983865445,1,nan,40.2335,residential,6,,"LINESTRING (-112.08809 33.44708,-112.08808 33.44722,-112.08809 33.44804,-112.08809 33.44805,-112.08809 33.44808,-112.08809 33.44819)",
,69,1284,54,,,122.74450290419534,1,nan,40.2335,residential,6,,"LINESTRING (-112.08817 33.44819,-112.08817 33.44808,-112.08817 33.44805,-112.08817 33.44804,-112.08816 33.44722,-112.08816 33.44708)",
,70,56,57,,,100.26285654685861,1,nan,40.2335,residential,6,,"LINESTRING (-112.04226 33.46663,-112.04118 33.46664)",
,71,57,56,,,100.26285654685861,1,nan,40.2335,residential,6,,"LINESTRING (-112.04118 33.4667,-112.04226 33.4667)",
,72,57,48,,,100.29157234013526,1,nan,40.2335,residential,6,,"LINESTRING (-112.04118 33.46664,-112.04067 33.46664,-112.04021 33.46665,-112.0401 33.46666)",
,73,48,57,,,99.74742701079032,1,nan,40.2335,residential,6,,"LINESTRING (-112.04011 33.46672,-112.04021 33.46671,-112.04067 33.46671,-112.04118 33.4667)",
,74,1425,1426,,,204.12050498377747,1,nan,40.2335,residential,6,,"LINESTRING (-112.05856 33.46667,-112.05649 33.46667,-112.05637 33.46667)",
,75,1426,1425,,,204.11887075432736,1,nan,40.2335,residential,6,,"LINESTRING (-112.05637 33.46673,-112.05649 33.46673,-112.05856 33.46673)",
,76,1426,58,,,195.73787726379823,1,nan,40.2335,residential,6,,"LINESTRING (-112.05637 33.46667,-112.05624 33.46667,-112.05426 33.46667)",
,77,58,1426,,,195.73813720656034,1,nan,40.2335,residential,6,,"LINESTRING (-112.05426 33.46673,-112.05624 33.46673,-112.05637 33.46673)",
,78,58,59,,,205.89798085647652,1,nan,40.2335,residential,6,,"LINESTRING (-112.05426 33.46667,-112.05406 33.46666,-112.05205 33.46664)",
,79,59,58,,,205.42054873355863,1,nan,40.2335,residential,6,,"LINESTRING (-112.05205 33.46671,-112.05406 33.46672,-112.05426 33.46673)",
,80,59,60,,,205.9601056465507,1,nan,40.2335,residential,6,,"LINESTRING (-112.05205 33.46664,-112.05123 33.46665,-112.04983 33.46667)",
,81,60,59,,,205.91770440194864,1,nan,40.2335,residential,6,,"LINESTRING (-112.04983 33.46673,-112.05123 33.46671,-112.05205 33.46671)",
,82,60,61,,,198.56417697919557,1,nan,40.2335,residential,6,,"LINESTRING (-112.04983 33.46667,-112.04822 33.46666,-112.04788 33.46666,-112.0477 33.46666)",
,83,61,60,,,198.89136459130157,1,nan,40.2335,residential,6,,"LINESTRING (-112.04769 33.46672,-112.04788 33.46673,-112.04822 33.46672,-112.04983 33.46673)",
,84,61,62,,,40.39055493515065,1,nan,40.2335,residential,6,,"LINESTRING (-112.0477 33.46666,-112.04751 33.46665,-112.04726 33.46664)",
,85,62,61,,,40.25728550247657,1,nan,40.2335,residential,6,,"LINESTRING (-112.04726 33.46671,-112.04751 33.46671,-112.04769 33.46672)",
,86,62,1253,,,47.688886221537736,1,nan,40.2335,residential,6,,"LINESTRING (-112.04726 33.46664,-112.04681 33.46664,-112.04675 33.46664)",
,87,1253,62,,,47.666694911810445,1,nan,40.2335,residential,6,,"LINESTRING (-112.04675 33.46671,-112.04681 33.46671,-112.04726 33.46671)",
,88,1253,63,,,114.33728116356593,1,nan,40.2335,residential,6,,"LINESTRING (-112.04675 33.46664,-112.04613 33.46664,-112.04552 33.46664)",
,89,63,1253,,,114.36040183141623,1,nan,40.2335,residential,6,,"LINESTRING (-112.04552 33.46671,-112.04613 33.46671,-112.04675 33.46671)",
,90,63,64,,,201.49916660388567,1,nan,40.2335,residential,6,,"LINESTRING (-112.04552 33.46664,-112.04335 33.46664)",
,91,64,63,,,201.49916660388567,1,nan,40.2335,residential,6,,"LINESTRING (-112.04335 33.46671,-112.04552 33.46671)",
