link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0_index,t3_index,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,geometry,length,adjusted_demand,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,gamma,queue_series,max_queue_length,VDF_TYPE,daily_alpha,daily_beta
1348,451,463,2/2/2016,1,1,0600_0900,4635.75,1545.25,64.13888888833331,24.10736455481485,0,0,none,none,1632.25,1364.0,2.8400980241997242,<PSTW,63.7500000025,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1632.25,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.7034924724013982,3331.90466954023,63.054984501398465,0.98,4.01,984.2288408658376,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/20/2016,1,1,0600_0900,3274.0,1091.3333333333333,65.84722222166666,16.50814866101879,0,0,none,none,930.25,651.0,3.5194840096748186,<PSTW,63.020833332500004,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,930.25,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.48173487773430046,3331.90466954023,63.054984501398465,0.98,4.01,24.3741330944432,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/21/2016,1,1,0600_0900,1986.75,662.25,69.743055555,9.485908976983394,0,0,none,none,474.75,406.0,4.184834123222749,<PSTW,69.479166665,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,474.75,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.2768143960331759,3331.90466954023,63.054984501398465,0.98,4.01,2.2996111372061394,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/22/2016,1,1,0600_0900,1375.75,917.1666666666666,63.51388889,14.494841716173967,0,0,none,none,980.5,59.0,1.4031106578276389,<PSTW,63.08333333499999,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,980.5,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.4229832760355196,3331.90466954023,63.054984501398465,0.98,4.01,0.00014903363479431132,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/23/2016,1,1,0600_0900,4660.25,1553.4166666666667,64.20833333333333,24.232444962208607,0,0,none,none,1543.75,1264.0,3.0187854251012145,<PSTW,62.6875,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1543.75,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.707142524021364,3331.90466954023,63.054984501398465,0.98,4.01,672.6042468637975,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/24/2016,1,1,0600_0900,4658.5,1552.8333333333333,64.24999999833334,24.198811753626895,0,0,none,none,1529.0,1337.0,3.0467625899280577,<PSTW,62.97916666500001,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1529.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.7061610517826156,3331.90466954023,63.054984501398465,0.98,4.01,890.5970899465796,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/25/2016,1,1,0600_0900,4782.75,1594.25,64.09722222250001,24.90272959373139,0,0,none,none,1660.0,1286.0,2.8811746987951805,<PSTW,63.9375,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1660.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.7267025299096246,3331.90466954023,63.054984501398465,0.98,4.01,733.2111798269638,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/26/2016,1,1,0600_0900,4663.0,1554.3333333333333,64.7291666675,24.043665446130635,0,0,none,none,1641.0,1294.0,2.8415600243753807,<PSTW,64.1666666675,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1641.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.7016336278414244,3331.90466954023,63.054984501398465,0.98,4.01,756.3026412270721,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/27/2016,1,1,0600_0900,3090.0,1030.0,68.77083333249999,14.98290603658734,0,0,none,none,1188.5,569.0,2.599915860328145,<PSTW,68.56249999750001,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,1188.5,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.4372257941124255,3331.90466954023,63.054984501398465,0.98,4.01,12.433275798246548,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1348,451,463,2/28/2016,1,1,0600_0900,2010.5,670.1666666666666,70.2013888875,9.544256701817114,0,0,none,none,503.25,387.0,3.995032290114257,<PSTW,69.81249999750001,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14,503.25,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.2785170784275512,3331.90466954023,63.054984501398465,0.98,4.01,1.8095853036133538,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
